Honorific,"First name","Last name","Office type",Address,City,Province,"Postal code","Office email",Email,Telephone,Fax,Toll-free,TTY,"Riding name",Party,"Parliamentary role","Member ID",,,
Hon.,Stephen,Lecce,"Ministry office","Ministry of Energy and Mines
10th Floor
77 Grenville St.",Toronto,ON,"M7A 2C1",,stephen.lecce@pc.ola.org,416-327-6758,,,,King—Vaughan,"Progressive Conservative Party of Ontario",,7479
Hon.,Stephen,Lecce,"Constituency office","Unit 1
2220 King Rd.","King City",ON,"L7B 1L3",,stephen.lecce@pc.ola.org,"647-560-9700  ",647-560-9701,,,King—Vaughan,"Progressive Conservative Party of Ontario",,7479
Hon.,Natalia,Kusendova-Bashta,"Ministry office","Ministry of Long-Term Care
6th Floor
400 University Ave.",Toronto,ON,"M5G 1S5",,natalia.kusendova@pc.ola.org,416-325-6200,,,,"Mississauga Centre","Progressive Conservative Party of Ontario",,7489
Hon.,Natalia,Kusendova-Bashta,"Constituency office","Unit 701
50 Burnhamthorpe Rd. W",Mississauga,ON,"L5B 3C3",natalia.kusendovaco@pc.ola.org,natalia.kusendova@pc.ola.org,905-890-1901,,,,"Mississauga Centre","Progressive Conservative Party of Ontario",,7489
,Ric,Bresee,"Legislative office","Room 263 
Main Legislative Building",Toronto,ON,"M7A 1A5",,ric.bresee@pc.ola.org,416-325-0119,,,,"Hastings—Lennox and Addington","Progressive Conservative Party of Ontario",,7601
,Ric,Bresee,"Constituency office","26A St. Lawrence St. W
P.O. Box 70",Madoc,ON,"K0K 2K0",,ric.bresee@pc.ola.org,613-473-1112,613-473-1397,"855-229-6676  ",,"Hastings—Lennox and Addington","Progressive Conservative Party of Ontario",,7601
,Ric,Bresee,"Constituency office","6 Dundas St. W",Napanee,ON,"K7R 1Z4",,ric.bresee@pc.ola.org,613-354-3031,613-354-3263,,,"Hastings—Lennox and Addington","Progressive Conservative Party of Ontario",,7601
Hon.,Andrea,Khanjin,"Ministry office","Ministry of Red Tape Reduction
7th Floor
56 Wellesley St. W",Toronto,ON,"M5S 2S3",,,416-212-0088,,,,Barrie—Innisfil,"Progressive Conservative Party of Ontario",,7448
Hon.,Andrea,Khanjin,"Constituency office","Unit 1
237 Mapleview Dr. E",Barrie,ON,"L4N 0W5",andrea.khanjin@pc.ola.org,,"705-722-0575  ",705-722-8835,,,Barrie—Innisfil,"Progressive Conservative Party of Ontario",,7448
,Terence,Kernaghan,"Constituency office","Unit 105
400 York St.",London,ON,"N6B 3N2",tkernaghan-co@ndp.on.ca,tkernaghan-qp@ndp.on.ca,519-432-7339,,,,"London North Centre","New Democratic Party of Ontario",,7483
,Terence,Kernaghan,"Legislative office","Room 320
Main Legislative Building, Queen's Park",Toronto,ON,"M7A 1A5",,tkernaghan-qp@ndp.on.ca,"416-326-7568  ",,,,"London North Centre","New Democratic Party of Ontario",,7483
Hon.,Trevor,Jones,"Ministry office","Minister of Agriculture, Food and Agribusiness
11th Floor
77 Grenville St.",Toronto,ON,"M7A 1B3",,trevor.jones@pc.ola.org,416-326-3074,,,,Chatham-Kent—Leamington,"Progressive Conservative Party of Ontario",,7592
Hon.,Trevor,Jones,"Constituency office","Suite 100
111 Heritage Rd.",Chatham,ON,"N7M 5W7",,trevor.jones@pc.ola.org,519-351-0510,519-351-7714,,,Chatham-Kent—Leamington,"Progressive Conservative Party of Ontario",,7592
Hon.,Trevor,Jones,"Constituency office","Unit 2
115 Erie St. N",Leamington,ON,"N8H 3A3",,trevor.jones@pc.ola.org,519-326-3367,519-326-0404,,,Chatham-Kent—Leamington,"Progressive Conservative Party of Ontario",,7592
,Anthony,Leardi,"Legislative office","Room 213
Main Legislative Building, Queen's Park",Toronto,ON,"M7A 1A5",,anthony.leardi@pc.ola.org,,,,,Essex,"Progressive Conservative Party of Ontario",,7597
,Anthony,Leardi,"Constituency office","310 Thomas Rd.",Amherstburg,ON,"N9V 2Y9",,anthony.leardi@pc.ola.org,519-736-1550,,,,Essex,"Progressive Conservative Party of Ontario",,7597
Hon.,Rob,Flack,"Ministry office","Ministry of Municipal Affairs and Housing
17th Floor
777 Bay St.",Toronto,ON,"M7A 2J3",,rob.flack@pc.ola.org,416-585-7000,416-585-4230,,,Elgin—Middlesex—London,"Progressive Conservative Party of Ontario",,7596
Hon.,Rob,Flack,"Constituency office","Suite 201
750 Talbot St.","St. Thomas",ON,"N5P 1E2",,rob.flack@pc.ola.org,519-631-5995,519-631-9478,1-800-265-7638,,Elgin—Middlesex—London,"Progressive Conservative Party of Ontario",,7596
Hon.,Graham,McGregor,"Ministry office","Ministry of Citizenship and Multiculturalism
14th Floor
56 Wellesley St. W",Toronto,ON,"M7A 2E7",,graham.mcgregor@pc.ola.org,416-212-0039,,,,"Brampton North","Progressive Conservative Party of Ontario",,7588
Hon.,Graham,McGregor,"Constituency office","Unit 7
10215 Kennedy Rd. N",Brampton,ON,"L6Z 0C5",,graham.mcgregor@pc.ola.org,289-298-1049,905-495-1041,,,"Brampton North","Progressive Conservative Party of Ontario",,7588
,Billy,Denault,"Constituency office","The Victoria Center
Unit 6
84 Isabella St.",Pembroke,ON,"K8A 5S5",,billy.denault@pc.ola.org,613-735-6627,613-735-6692,800-267-2515,,Renfrew—Nipissing—Pembroke,"Progressive Conservative Party of Ontario",,111
Hon.,Caroline,Mulroney,"Ministry office","Ministry of Francophone Affairs
Suite 2501
700 Bay St.",Toronto,ON,"M7A 0A2",,caroline.mulroney@pc.ola.org,416-325-4983,,,,York—Simcoe,"Progressive Conservative Party of Ontario",,7523
Hon.,Caroline,Mulroney,"Constituency office","Unit 9
45 Grist Mill Rd.","Holland Landing",ON,"L9N 1M7",caroline.mulroneyco@pc.ola.org,caroline.mulroney@pc.ola.org,905-895-1555,905-895-0337,,,York—Simcoe,"Progressive Conservative Party of Ontario",,7523
,Stephanie,Bowman,"Constituency office","Suite 101
795 Eglinton Ave. E",Toronto,ON,"M4G 4E4",,sbowman.mpp.co@liberal.ola.org,416-425-6777,416-425-0350,,,"Don Valley West","Ontario Liberal Party",,7594
,Stephanie,Bowman,"Legislative office","Room 412
Main Legislative Building, Queen's Park",Toronto,ON,"M7A 1A5",,sbowman.mpp.co@liberal.ola.org,416-325-0008,416-325-0018,,,"Don Valley West","Ontario Liberal Party",,7594
,Kristyn,Wong-Tam,"Constituency office","Suite 401
120 Carlton St.",Toronto,ON,"M5A 4K2",kwong-tam-co@ndp.on.ca,kwong-tam-qp@ndp.on.ca,416-972-7683,416-972-7686,,,"Toronto Centre","New Democratic Party of Ontario",,7616
,Kristyn,Wong-Tam,"Legislative office","Room 327
Main Legislative Building, Queen's Park",Toronto,ON,"M7A 1A5",,kwong-tam-qp@ndp.on.ca,416-325-0031,416-325-0030,,,"Toronto Centre","New Democratic Party of Ontario",,7616
,Brian,Saunderson,"Ministry office","15th Floor
56 Wellesley St. West",Toronto,ON,"M7A 2E7",,brian.saunderson@pc.ola.org,,,,,Simcoe—Grey,"Progressive Conservative Party of Ontario",,7610
,Brian,Saunderson,"Constituency office","Suite 28
180 Parsons Rd.",Alliston,ON,"L9R 1E8",,brian.saunderson@pc.ola.org,705-435-4087,705-435-1051,,,Simcoe—Grey,"Progressive Conservative Party of Ontario",,7610
,Brian,Saunderson,"Constituency office","7317 Hwy. 26 E",Stayner,ON,"L0M 1S0",,brian.saunderson@pc.ola.org,705-428-2134,705-428-0104,800-268-7542,,Simcoe—Grey,"Progressive Conservative Party of Ontario",,7610
Hon.,Kevin,Holland,"Ministry office","Ministry of Natural Resources
Whitney Block
99 Wellesley St. W",Toronto,ON,"M7A 1W3",,kevin.holland@pc.ola.org,416-314-2301,,,,"Thunder Bay—Atikokan","Progressive Conservative Party of Ontario",,7613
Hon.,Kevin,Holland,"Constituency office","774 James St. N","Thunder Bay",ON,"P7C 5N3",,kevin.holland@pc.ola.org,807-623-6702,807-623-8921,833-743-1684,,"Thunder Bay—Atikokan","Progressive Conservative Party of Ontario",,7613
,David,Smith,"Legislative office","Room 170 
Main Legislative Building, Queen's Park",Toronto,ON,"M7A 1A5",,david.smith1@pc.ola.org,416-325-1180,416-325-1179,,,"Scarborough Centre","Progressive Conservative Party of Ontario",,7609
,David,Smith,"Constituency office","2063 Lawrence Ave. E",Scarborough,ON,"M1R 2Z4",,david.smith1@pc.ola.org,416-615-2183,416-615-2011,,,"Scarborough Centre","Progressive Conservative Party of Ontario",,7609
,Jamie,West,"Constituency office","Unit 4B
555 Barrydowne Rd.",Sudbury,ON,"P3A 3T4",jwest-co@ndp.on.ca,jwest-qp@ndp.on.ca,705-675-1914,705-675-1456,,,Sudbury,"New Democratic Party of Ontario",,7446
,Jamie,West,"Legislative office","Room 347
Main Legislative Building, Queen's Park",Toronto,ON,"M7A 1A5",,jwest-qp@ndp.on.ca,416-326-7144,416-326-7280,,,Sudbury,"New Democratic Party of Ontario",,7446
Hon.,Neil,Lumsden,"Ministry office","Ministry of Sport
Suite 240
2nd Floor
777 Bay St.",Toronto,ON,"M5G 2E5",,neil.lumsden@pc.ola.org,,,,,"Hamilton East—Stoney Creek","Progressive Conservative Party of Ontario",,7600
Hon.,Neil,Lumsden,"Constituency office","Unit 102 
115 Hwy. 8","Stoney Creek",ON,"L8G 1C1",,neil.lumsden@pc.ola.org,905-662-8755,,,,"Hamilton East—Stoney Creek","Progressive Conservative Party of Ontario",,7600
Hon.,Graydon,Smith,"Ministry office","Ministry of Municipal Affairs and Housing
17th Floor
777 Bay St. ",Toronto,ON,"M7A 2J3",,graydon.smith@pc.ola.org,416-585-6500,,,,"Parry Sound—Muskoka","Progressive Conservative Party of Ontario",,7607
Hon.,Graydon,Smith,"Constituency office","Unit 1
26 James St.","Parry Sound",ON,"P2A 1T5",,graydon.smith@pc.ola.org,705-746-4266,,1-888-701-1176,,"Parry Sound—Muskoka","Progressive Conservative Party of Ontario",,7607
Hon.,Graydon,Smith,"Constituency office","Unit 2.04
230 Manitoba St.",Bracebridge,ON,"P1L 2E1",,graydon.smith@pc.ola.org,705-645-8538,,1-888-267-4826,,"Parry Sound—Muskoka","Progressive Conservative Party of Ontario",,7607
,Paul,Vickers,"Legislative office","Room 156 
Main Legislative Building, Queen's Park",Toronto,ON,"M7A 1A5",,paul.vickers@pc.ola.org,416-325-1216,,,,"Bruce—Grey—Owen Sound","Progressive Conservative Party of Ontario",,123
,Paul,Vickers,"Constituency office","Suite 105B
345 8th Street E","Owen Sound",ON,"N4K 1L3",,paul.vickers@pc.ola.org,519-371-2421,519-371-0953,1-800-461-2664,,"Bruce—Grey—Owen Sound","Progressive Conservative Party of Ontario",,123
,Daisy,Wai,"Legislative office","Room 184
Main Legislative Building, Queen's Park",Toronto,ON,"M7A 1A5",,daisy.wai@pc.ola.org,,,,,"Richmond Hill","Progressive Conservative Party of Ontario",,7506
,Daisy,Wai,"Constituency office","Suite 409
9555 Yonge St.","Richmond Hill",ON,"L4C 9M5",daisy.waico@pc.ola.org,daisy.wai@pc.ola.org,905-884-8080,905-884-1040,,,"Richmond Hill","Progressive Conservative Party of Ontario",,7506
,Steve,Pinsonneault,"Legislative office","Room 210
Main Legislative Building, Queen's Park",Toronto,ON,"M7A 1A5",,steve.pinsonneault@pc.ola.org,416-325-3015,,,,Lambton—Kent—Middlesex,"Progressive Conservative Party of Ontario",,106
,Steve,Pinsonneault,"Constituency office","Unit 14
60 McNaughton Ave.",Wallaceburg,ON,"N8A 1R9",,steve.pinsonneault@pc.ola.org,519-627-1015,519-627-7174,,,Lambton—Kent—Middlesex,"Progressive Conservative Party of Ontario",,106
,Steve,Pinsonneault,"Constituency office","81 Front St. W",Strathroy,ON,"N7G 1X6",,steve.pinsonneault@pc.ola.org,519-245-8696,519-245-8697,800-265-3916,,Lambton—Kent—Middlesex,"Progressive Conservative Party of Ontario",,106
,Natalie,Pierre,"Legislative office","Room 115 
Main Legislative Building, Queen's Park",Toronto,ON,"M7A 1A5",,natalie.pierre@pc.ola.org,416-325-1229,,,,Burlington,"Progressive Conservative Party of Ontario",,7590
,Natalie,Pierre,"Constituency office","Suite 306
3027 Harvester Rd.",Burlington,ON,"L7N 3G7",,natalie.pierre@pc.ola.org,905-639-7924,905-639-3284,,,Burlington,"Progressive Conservative Party of Ontario",,7590
Hon.,Nolan,Quinn,"Ministry office","Ministry of Colleges, Universities, Research Excellence and Security 
5th Floor
438 University Ave.",Toronto,ON,"M7A 1N3",,nolan.quinn@pc.ola.org,416-326-1600,,,,"Stormont—Dundas—South Glengarry","Progressive Conservative Party of Ontario",,7611
Hon.,Nolan,Quinn,"Constituency office","Time Square
Suite 100
120 Second St. W",Cornwall,ON,"K6J 1G5",,nolan.quinn@pc.ola.org,613-933-6513,613-933-6449,800-514-9660,,"Stormont—Dundas—South Glengarry","Progressive Conservative Party of Ontario",,7611
,Laura,Smith,"Legislative office","Room 165
Main Legislative Building, Queen's Park",Toronto,ON,"M7A 1A5",,laura.smith@pc.ola.org,416-325-1243,,,,Thornhill,"Progressive Conservative Party of Ontario",,7612
,Laura,Smith,"Constituency office","Centre Street Square
Unit 4
1136 Centre St.",Thornhill,ON,"L4J 3M8",,laura.smith@pc.ola.org,905-731-1178,,,,Thornhill,"Progressive Conservative Party of Ontario",,7612
,Michelle,Cooper,"Legislative office","Room 111 
Main Legislative Building, Queen's Park",Toronto,ON,"M7A 1A5",,michelle.cooper@pc.ola.org,416-325-1248,,,,Eglinton—Lawrence,"Progressive Conservative Party of Ontario",,109
,Michelle,Cooper,"Constituency office","1104 Eglinton Ave W.",Toronto,ON,"M6C 2E2",,michelle.cooper@pc.ola.org,416-781-2395,416-781-4116,,,Eglinton—Lawrence,"Progressive Conservative Party of Ontario",,109
,Bill,Rosenberg,"Constituency office","169 Main Street
P.O. Box 429",Thessalon,ON,"P0R 1L0",,bill.rosenberg@pc.ola.org,705-842-6556,,,,Algoma—Manitoulin,"Progressive Conservative Party of Ontario",,119
,Jonathan,Tsao,"Legislative office","Room 429 
Main Legislative Building, Queen's Park",Toronto,ON,"M7A 1A5",,jtsao.mpp.co@liberal.ola.org,416-325-3033,416-325-3032,,,"Don Valley North","Ontario Liberal Party",,122
,Jonathan,Tsao,"Constituency office","Suite 103
2175 Sheppard Ave. E","North York",ON,"M2J 1W8",,jtsao.mpp.co@liberal.ola.org,"416-494-8778  ","416-494-0110  ",,,"Don Valley North","Ontario Liberal Party",,122
,John,Vanthof,"Constituency office","Unit 107
145 Government Rd. W","Kirkland Lake",ON,"P2N 2E8",jvanthof-co@ndp.on.ca,jvanthof-qp@ndp.on.ca,705-567-4650,,,,Timiskaming—Cochrane,"New Democratic Party of Ontario",,7192
,John,Vanthof,"Constituency office","Pinewoods Centre
Unit 5
247 Whitewood Ave.
P.O. Box 398","New Liskeard",ON,"P0J 1P0",jvanthof-co@ndp.on.ca,jvanthof-qp@ndp.on.ca,705-647-5995,705-647-1976,888-701-1105,,Timiskaming—Cochrane,"New Democratic Party of Ontario",,7192
,John,Vanthof,"Constituency office","2nd Floor
193 King St.","Sturgeon Falls",ON,"P2B 1R8",jvanthof-co@ndp.on.ca,jvanthof-qp@ndp.on.ca,705-753-0200,705-753-0800,888-771-9551,,Timiskaming—Cochrane,"New Democratic Party of Ontario",,7192
,John,Vanthof,"Legislative office","Room 348
Main Legislative Building, Queen's Park",Toronto,ON,"M7A 1A5",,jvanthof-qp@ndp.on.ca,416-325-2000,416-325-1999,,,Timiskaming—Cochrane,"New Democratic Party of Ontario",,7192
,Alexa,Gilmour,"Constituency office","2849 Dundas St. W",Toronto,ON,"M6P 1Y6",agilmour-co@ndp.on.ca,agilmour-qp@ndp.on.ca,416-763-5630,"416-763-5640  ",,,"Parkdale—High Park","New Democratic Party of Ontario",,114
,Alexa,Gilmour,"Legislative office","Room 204
North Wing, Main Legislative Building, Queen's Park",Toronto,ON,"M7A 1A5",,agilmour-qp@ndp.on.ca,"416-325-3017  ",416-325-2937,,,"Parkdale—High Park","New Democratic Party of Ontario",,114
,Brian,Riddell,"Legislative office","Room 159 
Main Legislative Building, Queen's Park",Toronto,ON,"M7A 1A5",,brian.riddell@pc.ola.org,416-325-1938,,,,Cambridge,"Progressive Conservative Party of Ontario",,7591
,Brian,Riddell,"Constituency office","Cambridge Place
Suite 601
73 Water St. N",Cambridge,ON,"N1R 7L6",,brian.riddell@pc.ola.org,519-650-2770,,,,Cambridge,"Progressive Conservative Party of Ontario",,7591
,Logan,Kanapathi,"Legislative office","Room 171
Main Legislative Building, Queen's Park",Toronto,ON,"M7A 1A5",,,416-326-7648,,,,Markham—Thornhill,"Progressive Conservative Party of Ontario",,7485
,Logan,Kanapathi,"Constituency office","Unit 3
7380 McCowan Rd.",Markham,ON,"L3S 3H8",logan.kanapathico@pc.ola.org,,"905-305-1935  ","905-305-1938  ",,,Markham—Thornhill,"Progressive Conservative Party of Ontario",,7485
Hon.,Sylvia,Jones,"Ministry office","Ministry of Health
5th Floor
777 Bay St.",Toronto,ON,"M7A 2J3",,,416-327-4300,,,,Dufferin—Caledon,"Progressive Conservative Party of Ontario",,7093
Hon.,Sylvia,Jones,"Constituency office","Suite A
3rd Floor
180 Broadway Ave.",Orangeville,ON,"L9W 1K3",sylvia.jones@pc.ola.org,,"519-941-7751  ","519-941-3246  ",800-265-1603,,Dufferin—Caledon,"Progressive Conservative Party of Ontario",,7093
,Andrea,Hazell,"Legislative office","Room 440
Main Legislative Building, Queen's Park",Toronto,ON,"M7A 1A5",,ahazell.mpp.co@liberal.ola.org,416-325-1207,,,,Scarborough—Guildwood,"Ontario Liberal Party",,7644
,Andrea,Hazell,"Constituency office","Unit B10
3785 Kingston Rd.",Scarborough,ON,"M1J 3M4",,ahazell.mpp.co@liberal.ola.org,"416-281-2787  ",416-281-2360,,,Scarborough—Guildwood,"Ontario Liberal Party",,7644
,Lee,Fairclough,"Legislative office","Room 425
Main Legislative Building, Queen's Park",Toronto,ON,"M7A 1A5",,lfairclough.mpp.co@liberal.ola.org,416-325-3047,416-325-3029,,,Etobicoke—Lakeshore,"Ontario Liberal Party",,112
,Lee,Fairclough,"Constituency office","1136 The Queensway",Etobicoke,ON,"M8Z 1P7",,lfairclough.mpp.co@liberal.ola.org,"416-259-2249  ",,,,Etobicoke—Lakeshore,"Ontario Liberal Party",,112
,John,Jordan,"Legislative office","Room 167 
Main Legislative Building, Queen's Park",Toronto,ON,"M7A 1A5",,john.jordan@pc.ola.org,416-325-1232,,,,Lanark—Frontenac—Kingston,"Progressive Conservative Party of Ontario",,7604
,John,Jordan,"Constituency office","Unit 207
91 Cornelia Street W.","Smiths Falls",ON,"K7A 5L3",,john.jordan@pc.ola.org,613-284-1630,,,,Lanark—Frontenac—Kingston,"Progressive Conservative Party of Ontario",,7604
,Andrew,Dowie,"Constituency office","Unit 1
5452 Tecumseh Rd. E",Windsor,ON,"N8T 1C7",,andrew.dowie@pc.ola.org,519-251-5199,,,,Windsor—Tecumseh,"Progressive Conservative Party of Ontario",,7617
,Mohamed,Firin,"Constituency office","1830 and 1832 Weston Rd.",Toronto,ON,"M9N 1V8",,mohamed.firin@pc.ola.org,416-243-7984,416-243-0327,,,"York South—Weston","Progressive Conservative Party of Ontario",,113
,"Effie J.",Triantafilopoulos,"Legislative office","Whitney Block
Room 1308
99 Wellesley St. W",Toronto,ON,"M7A 1A2",,effie.triantafilopoulos@pc.ola.org,416-325-1069,416-325-1066,,,"Oakville North—Burlington","Progressive Conservative Party of Ontario",,7499
,"Effie J.",Triantafilopoulos,"Constituency office","Unit 570
2525 Old Bronte Rd.",Oakville,ON,"L6M 4J2",,effie.triantafilopoulos@pc.ola.org,905-825-2455,905-825-0663,,,"Oakville North—Burlington","Progressive Conservative Party of Ontario",,7499
Hon.,"Michael A.",Tibollo,"Ministry office","Ministry of the Attorney General
McMurtry-Scott Building
11th Floor
720 Bay St.",Toronto,ON,"M7A 2S9",,,,,,,Vaughan—Woodbridge,"Progressive Conservative Party of Ontario",,7519
Hon.,"Michael A.",Tibollo,"Constituency office","Unit 3
5100 Rutherford Rd.",Woodbridge,ON,"L4H 2J2",michael.tibolloco@pc.ola.org,,905-893-4428,905-893-4537,,,Vaughan—Woodbridge,"Progressive Conservative Party of Ontario",,7519
,Catherine,Fife,"Constituency office","Suite 220
100 Regina St. S",Waterloo,ON,"N2J 4P9",cfife-co@ndp.on.ca,cfife-qp@ndp.on.ca,519-725-3477,519-725-3667,,,Waterloo,"New Democratic Party of Ontario",,7204
,Catherine,Fife,"Legislative office","Room 370
Main Legislative Building, Queen's Park",Toronto,ON,"M7A 1A5",,cfife-qp@ndp.on.ca,416-325-6913,,,,Waterloo,"New Democratic Party of Ontario",,7204
Hon.,Lisa,Thompson,"Ministry office","Ministry of Rural Affairs
28th Floor
777 Bay St.",Toronto,ON,"M7A 2J4",,lisa.thompson@pc.ola.org,,,,,Huron—Bruce,"Progressive Conservative Party of Ontario",,7179
Hon.,Lisa,Thompson,"Constituency office","408 Queen St.
P.O. Box 426",Blyth,ON,"N0M 1H0",lisa.thompsonco@pc.ola.org,lisa.thompson@pc.ola.org,519-523-4251,226-523-9296,800-668-9320,,Huron—Bruce,"Progressive Conservative Party of Ontario",,7179
Hon.,Lisa,Thompson,"Constituency office","Unit 2
807 Queen St.",Kincardine,ON,"N2Z 2Y2",lisa.thompsonco@pc.ola.org,lisa.thompson@pc.ola.org,519-396-3007,519-396-3011,1-866-396-3007,,Huron—Bruce,"Progressive Conservative Party of Ontario",,7179
,Sol,Mamakwa,"Constituency office","Unit 104
73 King St.
P.O. Box 176","Sioux Lookout",ON,"P8T 1A1",smamakwa-co@ndp.on.ca,smamakwa-qp@ndp.on.ca,807-737-2210,,1-888-444-1723,,Kiiwetinoong,"New Democratic Party of Ontario",,7477
,Sol,Mamakwa,"Constituency office","Unit 2
14 Discovery Rd.","Red Lake",ON,"P0V 2M0",smamakwa-co@ndp.on.ca,smamakwa-qp@ndp.on.ca,807-727-1133,,,,Kiiwetinoong,"New Democratic Party of Ontario",,7477
,Sol,Mamakwa,"Legislative office","Room 361
Main Legislative Building, Queen's Park",Toronto,ON,"M7A 1A5",,smamakwa-qp@ndp.on.ca,416-326-7692,416-326-7690,,,Kiiwetinoong,"New Democratic Party of Ontario",,7477
Hon.,Vijay,Thanigasalam,"Ministry office","Ministry of Health
Frost Building South
7 Queen's Park Cres.",Toronto,ON,"M7A 1Y7",,vijay.thanigasalam@pc.ola.org,416-327-4300,,,,"Scarborough—Rouge Park","Progressive Conservative Party of Ontario",,7511
Hon.,Vijay,Thanigasalam,"Constituency office","Unit 105
8130 Sheppard Ave. E",Toronto,ON,"M1B 3W3",,vijay.thanigasalam@pc.ola.org,416-283-8448,416-283-1597,,,"Scarborough—Rouge Park","Progressive Conservative Party of Ontario",,7511
,Monica,Ciriello,"Constituency office","Unit 400
1030 Upper James St. ",Hamilton,ON,"L9C 6X6",,monica.ciriello@pc.ola.org,905-388-1515,905-388-7862,,,"Hamilton Mountain","Progressive Conservative Party of Ontario",,7646
Hon.,Nina,Tangri,"Ministry office","Ministry of Economic Development, Job Creation and Trade
18th Floor
56 Wellesley St. W",Toronto,ON,"M5S 2S3",,nina.tangri@pc.ola.org,,,,,Mississauga—Streetsville,"Progressive Conservative Party of Ontario",,7494
Hon.,Nina,Tangri,"Constituency office","330 Queen St. S",Mississauga,ON,"L5M 1M2",,nina.tangri@pc.ola.org,905-569-1643,,,,Mississauga—Streetsville,"Progressive Conservative Party of Ontario",,7494
,Jess,Dixon,"Legislative office","Room 116
Main Legislative Building, Queen's Park",Toronto,ON,"M7A 1A5",,jess.dixon@pc.ola.org,416-325-0138,,,,"Kitchener South—Hespeler","Progressive Conservative Party of Ontario",,7603
,Jess,Dixon,"Constituency office","Building A
Unit 11
260 Holiday Inn Dr.",Cambridge,ON,"N3C 2E8",,jess.dixon@pc.ola.org,519-650-9413,519-571-8660,,,"Kitchener South—Hespeler","Progressive Conservative Party of Ontario",,7603
,Peter,Tabuns,"Constituency office","923 Danforth Ave.",Toronto,ON,"M4J 1L8",tabunsp-co@ndp.on.ca,tabunsp-qp@ndp.on.ca,416-461-0223,416-461-9542,,,Toronto—Danforth,"New Democratic Party of Ontario",,7041
,Peter,Tabuns,"Legislative office","Room 357 
Main Legislative Building, Queen's Park",Toronto,ON,"M7A 1A5",,tabunsp-qp@ndp.on.ca,416-325-3250,416-325-3252,,,Toronto—Danforth,"New Democratic Party of Ontario",,7041
