slug,name,level,country_code,province_code,parent_slug,governance_type,partisan,district_term,role_label_singular,role_label_plural,expected_district_count,last_election,election_date_set,next_election,term_duration_years,governance_summary,boundary_file,boundary_district_id_column
ca_bc,British Columbia,provincial,CA,BC,,ward_based,true,Electoral District,MLA,MLAs,93,2024-10-19,true,2028-10-21,4,"British Columbia voters elect one Member of the Legislative Assembly (MLA) from each of 93 provincial electoral districts; together the MLAs form the 93-seat Legislative Assembly. The party commanding the confidence of the Assembly forms government, with its leader serving as Premier. Under the Constitution (Fixed Election Dates) Amendment Act, 2001, general elections are held on the third Saturday in October every four years.",electoral_districts.geojson,ED_NAME
ca_on_norfolk_county,Norfolk County,municipal,CA,ON,,ward_based,false,Ward,Councillor,Councillors,7,2022-10-26,true,2026-10-26,4,Norfolk County voters elect a Mayor county-wide and seven ward councillors (Ward 5 elects two councillors) who together form the eight-member County Council. Each of the seven wards elects at least one councillor to represent that geographic area. The Mayor holds Strong Mayor powers as extended under Ontario legislation effective May 2025.,wards.geojson,Ward
ca_on_london,London,municipal,CA,ON,,ward_based,false,Ward,Councillor,Councillors,14,2022-10-24,true,2026-10-26,4,London voters elect a Mayor city-wide and 14 Ward Councillors — one per ward — who together form the 15-member City Council. The City of London is a single-tier municipality in Ontario; councillors serve four-year terms and are elected on a non-partisan basis.,wards_2026.geojson,Ward
ca_on_waterloo,Waterloo,municipal,CA,ON,,ward_based,false,Ward,Councillor,Councillors,7,2022-10-24,true,2026-10-26,4,Waterloo voters elect a mayor and 7 ward councillors who together form the 8-member city council. The mayor is elected city-wide; each councillor represents one of 7 wards. Municipal elections are held every 4 years.,wards.geojson,WARD_NO
ca_on_oshawa,Oshawa,municipal,CA,ON,,ward_based,false,Ward,Councillor,Councillors,5,2022-10-24,true,2026-10-26,4,"Oshawa voters elect a mayor and 10 city councillors who together form the 11-member city council. The city is divided into 5 wards; each ward elects one Regional & City Councillor and one City Councillor, both representing that ward. The mayor is elected city-wide.",wards.geojson,WARDNUMBER
ca_on_kingston,Kingston,municipal,CA,ON,,ward_based,false,District,Councillor,Councillors,12,2022-10-24,true,2026-10-26,4,Kingston voters elect a mayor at large and 12 district councillors who together form the 13-member city council. Each councillor represents one of 12 geographic districts. Municipal elections are held every four years on the fourth Monday in October.,electoral-district-boundary-2.geojson,DISTRICT_NUMBER
ca_on_greater_sudbury,Greater Sudbury,municipal,CA,ON,,ward_based,false,Ward,Councillor,Councillors,12,2022-10-24,true,2026-10-26,4,Greater Sudbury voters elect a mayor and 12 ward councillors who together form the 13-member City Council. The mayor is elected city-wide; each councillor represents one of 12 wards across this single-tier municipality in northeastern Ontario.,wards.geojson,WardNumber
ca_ab,Alberta,provincial,CA,AB,,ward_based,true,Electoral Division,Member of the Legislative Assembly,Members of the Legislative Assembly,87,2023-05-29,true,2027-10-18,4,"Alberta voters elect one Member of the Legislative Assembly (MLA) from each of the province's 87 electoral divisions, forming the unicameral Legislative Assembly of Alberta. Elections are partisan, conducted under single-member plurality, and governed by the fixed-date provision in s.38.1 of the Election Act, which schedules general elections for the third Monday of October in the fourth calendar year following the most recent general election.",2019Boundaries_ED-Shapefiles.zip,EDName2017
ca_ab_calgary,Calgary,municipal,CA,AB,,ward_based,false,Ward,Councillor,Councillors,14,2025-10-20,false,,4,"Calgary voters elect a mayor city-wide and 14 city councillors, one representing each of Calgary's 14 wards, together forming the 15-member Calgary City Council. The mayor is elected by all eligible voters across the city; councillors are elected by voters within their individual wards. Both the mayor and councillors hold office for four-year terms under the Local Authorities Election Act.",wards.geojson,ward_num
ca_bc_vancouver,Vancouver,municipal,CA,BC,,at_large,false,City,Councillor,Councillors,1,2022-10-15,true,2026-10-17,4,"Vancouver voters elect a Mayor and 10 city councillors all city-wide under an at-large system with no wards, as established by the Vancouver Charter. The 11-member council governs on a non-partisan basis; the entire city constitutes a single at-large electoral district.",city-boundary.geojson,name
ca_qc,Quebec,provincial,CA,QC,,ward_based,true,Electoral Division,Member of the National Assembly,Members of the National Assembly,125,2022-10-03,true,2026-10-05,4,"Quebec voters elect one Member of the National Assembly (MNA) in each of the province's 125 electoral divisions, forming a unicameral legislature called the Assemblée nationale. Elections are held on the first Monday in October of the fourth year following the previous election, making the next general election fixed for October 5, 2026.",circumscriptions_2026.geojson,NM_CEP
ca_on_kitchener,Kitchener,municipal,CA,ON,,ward_based,false,Ward,Councillor,Councillors,10,2022-10-24,true,2026-10-26,4,Kitchener voters elect a mayor and 10 city councillors who together form the 11-member city council. The mayor is elected city-wide; each councillor represents one of 10 wards. Elections are held every four years under the Ontario Municipal Elections Act.,wards.geojson,WARD
ca_on_markham,Markham,municipal,CA,ON,,ward_based,false,Ward,Councillor,Councillors,8,2022-10-24,true,2026-10-26,4,"Markham voters elect a mayor, 8 ward councillors, and 4 Regional Councillors who together form city council. Each of the 8 wards elects one city councillor; the 4 Regional Councillors are elected at large across the city and also serve on York Region Council. The mayor is elected city-wide. Elections are held every four years under Ontario's Municipal Elections Act.",wards.geojson,WARD
ca_on_vaughan,Vaughan,municipal,CA,ON,,ward_based,false,Ward,Councillor,Councillors,5,2022-10-24,true,2026-10-26,4,"Vaughan voters elect a mayor, four at-large Local and Regional Councillors, and five ward councillors who together form the ten-member city council. The mayor and Local and Regional Councillors are elected city-wide; each ward councillor represents one of five geographic wards. Elections are held every four years under Ontario's Municipal Elections Act, most recently on October 24, 2022, with the next election scheduled for October 26, 2026.",wards.geojson,WARD_NO
ca_on_windsor,Windsor,municipal,CA,ON,,ward_based,false,Ward,Councillor,Councillors,10,2022-10-24,true,2026-10-26,4,"Windsor voters elect a mayor city-wide and 10 city councillors who together form the 11-member Windsor City Council. Each councillor represents one of the city's 10 wards, with elections held every four years under Ontario's Municipal Elections Act, most recently on October 24, 2022, with the next election scheduled for October 26, 2026.",wards.zip,WARD
ca_on_richmond_hill,Richmond Hill,municipal,CA,ON,,ward_based,false,Ward,Councillor,Councillors,6,2022-10-24,true,2026-10-26,4,Richmond Hill voters elect a mayor and eight councillors who together form the nine-member city council. Six ward councillors each represent one of six geographic wards; two councillors serve as Regional and Local Councillors elected at large across the municipality. The mayor is elected city-wide. Elections are held every four years under Ontario's Municipal Elections Act.,,
ca_on_oakville,Oakville,municipal,CA,ON,,ward_based,false,Ward,Councillor,Councillors,7,2022-10-24,true,2026-10-26,4,Oakville voters elect a mayor and 14 councillors who together form the 15-member Town Council. The mayor is elected town-wide; each of Oakville's 7 wards elects two councillors — one Town Councillor and one Town and Regional Councillor.,wards.geojson,Ward
ca_on_burlington,Burlington,municipal,CA,ON,,ward_based,false,Ward,Councillor,Councillors,6,2022-10-24,true,2026-10-26,4,"Burlington voters elect a mayor and six city councillors who together form the seven-member city council. The mayor is elected city-wide; each councillor represents one of six wards. Elections are held every four years under Ontario's Municipal Elections Act, most recently on October 24, 2022, with the next election day scheduled for October 26, 2026.",wards.geojson,WARD_NO
